,Characters,Lines
0,KING HENRY V,1029
1,FLUELLEN,281
2,CANTERBURY,223
3,Chorus,223
4,PISTOL,160
5,EXETER,130
6,DAUPHIN,115
7,Constable,115
8,KING OF FRANCE,79
9,Boy,72
10,WILLIAMS,70
11,BURGUNDY,68
12,GOWER,66
13,KATHARINE,58
14,MONTJOY,53
15,NYM,46
16,Hostess,41
17,ORLEANS,40
18,BARDOLPH,29
19,ALICE,27
20,WESTMORELAND,27
21,ELY,27
22,QUEEN ISABEL,24
23,MACMORRIS,20
24,BOURBON,18
25,GRANDPRE,18
26,First Ambassador,17
27,BATES,17
28,French Soldier,15
29,FRENCH KING,15
30,CAMBRIDGE,15
31,SCROOP,13
32,GREY,12
33,JAMY,11
34,SALISBURY,9
35,RAMBURES,8
36,ERPINGHAM,7
37,GOVERNOR,7
38,BEDFORD,7
39,Messenger,6
40,GLOUCESTER,5
41,PRINCE FORTINBRAS,2
42,YORK,2
43,COURT,2
44,ALL,2
45,Herald,1
46,WARWICK,1
